"Title","Body","Status","Roadmap","Type","Task ID","Epic","Priority","Dependencies","Area","Labels"
"[FR-01-T01] Implement Vulkan equivalents for particle style controls (`gl_partstyle` parity map to `vk_/r_` cvars).","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P0; Dependencies: none; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T01","FR-01","P0","none","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P0"
"[FR-01-T02] Implement Vulkan beam style parity (`gl_beamstyle` behavior equivalents).","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P0; Dependencies: `FR-01-T01`; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T02","FR-01","P0","`FR-01-T01`","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P0"
"[FR-01-T03] Add `RF_FLARE` behavior parity in Vulkan entity path.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P1; Dependencies: none; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T03","FR-01","P1","none","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P1"
"[FR-01-T04] Complete MD2 and MD5 visual parity pass with map-driven validation scenes.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P0; Dependencies: none; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T04","FR-01","P0","none","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P0"
"[FR-01-T05] Resolve remaining sky seam/artifact issues for all six faces and transitions.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P0; Dependencies: none; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T05","FR-01","P0","none","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P0"
"[FR-01-T06] Finalize bmodel initial-state correctness on first render frame.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P0; Dependencies: `FR-01-T04`; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T06","FR-01","P0","`FR-01-T04`","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P0"
"[FR-01-T07] Add Vulkan parity checklist doc and per-feature status table in `docs-dev/renderer/`.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P1; Dependencies: `FR-01-T01..T06`; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T07","FR-01","P1","`FR-01-T01..T06`","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P1"
"[FR-01-T08] Add Vulkan runtime debug overlays/counters for missing-feature detection.","Roadmap: Feature; Epic: FR-01 - Native Vulkan Gameplay Parity; Priority: P1; Dependencies: none; Area: `src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-01-T08","FR-01","P1","none","`src/rend_vk/*`, `src/client/renderer.cpp`, `docs-dev/vulkan-*.md`","roadmap,feature,epic:FR-01,priority:P1"
"[FR-02-T01] Produce renderer capability matrix (`opengl`, `vulkan`, `rtx`) and include cvar mapping.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P0; Dependencies: none; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T01","FR-02","P0","none","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P0"
"[FR-02-T02] Add runtime command to dump active renderer capabilities to log/console.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P1; Dependencies: `FR-02-T01`; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T02","FR-02","P1","`FR-02-T01`","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P1"
"[FR-02-T03] Align launch/debug presets with current renderer names and expected modes.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P1; Dependencies: none; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T03","FR-02","P1","none","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P1"
"[FR-02-T04] Validate and document fallback/error behavior for missing renderer DLLs.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P1; Dependencies: none; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T04","FR-02","P1","none","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P1"
"[FR-02-T05] Add parity smoke map sequence for each renderer in nightly validation.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P1; Dependencies: `DV-02-T03`; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T05","FR-02","P1","`DV-02-T03`","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P1"
"[FR-02-T06] Publish renderer support policy page under `docs-user/` for end users.","Roadmap: Feature; Epic: FR-02 - Renderer Role Clarity (OpenGL vs Vulkan vs RTX); Priority: P2; Dependencies: `FR-02-T01`; Area: `meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-02-T06","FR-02","P2","`FR-02-T01`","`meson.build`, `src/client/renderer.cpp`, `src/rend_vk/*`, `src/rend_rtx/*`","roadmap,feature,epic:FR-02,priority:P2"
"[FR-03-T01] Convert current menu proposal into implementation backlog with explicit widget tickets.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P0; Dependencies: none; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T01","FR-03","P0","none","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P0"
"[FR-03-T02] Implement dropdown overlay behavior (no legacy spin-style fallback for new pages).","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P0; Dependencies: `FR-03-T01`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T02","FR-03","P0","`FR-03-T01`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P0"
"[FR-03-T03] Implement palette picker widget for color-centric settings.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P1; Dependencies: `FR-03-T01`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T03","FR-03","P1","`FR-03-T01`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P1"
"[FR-03-T04] Implement crosshair tile/grid selector with live preview.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P1; Dependencies: `FR-03-T01`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T04","FR-03","P1","`FR-03-T01`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P1"
"[FR-03-T05] Implement model preview widget for player visuals pages.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P1; Dependencies: `FR-03-T01`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T05","FR-03","P1","`FR-03-T01`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P1"
"[FR-03-T06] Audit and complete settings page cvar wiring for Video/Audio/Input/HUD/Downloads.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P0; Dependencies: `FR-03-T02..T05`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T06","FR-03","P0","`FR-03-T02..T05`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P0"
"[FR-03-T07] Add menu regression checklist (navigation, conditionals, scaling, localization).","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P1; Dependencies: `FR-03-T06`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T07","FR-03","P1","`FR-03-T06`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P1"
"[FR-03-T08] Complete split between engine-side and cgame-side UI ownership where still mixed.","Roadmap: Feature; Epic: FR-03 - JSON UI Rework Completion; Priority: P1; Dependencies: `FR-03-T06`; Area: `src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-03-T08","FR-03","P1","`FR-03-T06`","`src/game/cgame/ui/*`, `src/game/cgame/ui/worr.json`, menu proposal docs","roadmap,feature,epic:FR-03,priority:P1"
"[FR-04-T01] Define bot MVP behavior set (spawn, roam, engage, objective awareness).","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P0; Dependencies: none; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T01","FR-04","P0","none","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P0"
"[FR-04-T02] Implement frame logic in `Bot_BeginFrame` and `Bot_EndFrame`.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P0; Dependencies: `FR-04-T01`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T02","FR-04","P0","`FR-04-T01`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P0"
"[FR-04-T03] Add weapon selection heuristics and situational item use.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T03","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T04] Add team mode awareness (CTF/TDM/etc.) to bot utility state updates.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T04","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T05] Add map-level nav validation pass and bot spawn diagnostics.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T05","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T06] Add bot participation checks to match/tournament/map-vote flows.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T06","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T07] Provide bot tuning cvars in preferred naming convention (`sg_` for new controls).","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P2; Dependencies: `FR-04-T01`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T07","FR-04","P2","`FR-04-T01`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P2"
"[FR-05-T01] Build full format support matrix (current vs target) for MD2/MD3/MD5/IQM/BSP variants/DDS.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P0; Dependencies: none; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T01","FR-05","P0","none","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P0"
"[FR-05-T02] Define IQM implementation plan and shared loader boundaries.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T02","FR-05","P1","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T03] Define extended BSP support plan (`IBSP29`, `BSP2`, `BSP2L`, `BSPX`) with compatibility rules.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T03","FR-05","P1","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T04] Add renderer-side format fallback diagnostics for unsupported assets.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P2; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T04","FR-05","P2","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P2"
"[FR-05-T05] Add staged asset validation checks to packaging pipeline for new formats.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `DV-02-T04`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T05","FR-05","P1","`DV-02-T04`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T06] Add user-facing docs describing supported asset formats and caveats.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P2; Dependencies: `FR-05-T01..T05`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T06","FR-05","P2","`FR-05-T01..T05`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P2"
"[FR-06-T01] Consolidate spatial audio follow-up backlog into implementation tasks.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T01","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T02] Complete graphical obituaries/chatbox enhancement track and integrate with localization.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T02","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T03] Add accessibility pass for text backgrounds, scaling, contrast defaults, and fallback fonts.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T03","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T04] Add presets for competitive readability vs immersive presentation.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P2; Dependencies: `FR-06-T03`; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T04","FR-06","P2","`FR-06-T03`","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P2"
"[FR-06-T05] Add QA script/checklist for multi-language font rendering in main HUD/menu surfaces.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: `FR-06-T03`; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T05","FR-06","P1","`FR-06-T03`","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-07-T01] Add end-to-end validation scenarios for map vote, mymap queue, and nextmap transitions.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P1; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T01","FR-07","P1","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P1"
"[FR-07-T02] Harden tournament veto/replay flows with explicit error handling and state resets.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P1; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T02","FR-07","P1","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P1"
"[FR-07-T03] Improve match logging artifact schema/versioning for downstream tooling.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P2; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T03","FR-07","P2","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P2"
